,Bird Name,F1,F2
0,Red-throated Loon,375.00000000000006,1030.0
1,European Green Woodpecker,400.0,2790.0000000000005
2,Northern Raven,470.0,935.0000000000001
3,Eurasian Tree Sparrow,,
4,Northern Raven,585.0,815.0000000000001
5,Common Cuckoo,360.00000000000006,2150.0
6,Garden Warbler,505.0,
7,Eurasian Treecreeper,,
8,Black Woodpecker,485.0,755.0000000000001
9,Common Pheasant,615.0,830.0
10,Tawny Owl,490.0,695.0000000000001
11,Long-tailed Tit,,
12,Tawny Owl,425.0,
13,Yellowhammer,350.0,1660.0
14,European Robin,415.0,1210.0
15,Wood Sandpiper,,
16,European Robin,380.0,955.0000000000001
17,Lesser Whitethroat,,
18,Tree Pipit,,
19,Grey Partridge,255.00000000000003,1370.0
20,Marsh Warbler,470.0,2835.0000000000005
21,Great Tit,,
22,Dunlin,290.0,
23,Black-headed Gull,,1705.0
24,Willow Warbler,,
25,Common Redshank,320.0,2385.0
26,Western Jackdaw,330.00000000000006,970.0
27,Grey Plover,,
28,Rook,,
29,European Goldfinch,480.00000000000006,1085.0000000000002
30,European Herring Gull,455.0,1170.0
31,Dunnock,,
32,African Pied Wagtail,250.0,2905.0
33,Eurasian Jay,380.0,900.0000000000001
34,Great Spotted Woodpecker,,
35,Tree Pipit,485.0,
36,Black-headed Gull,640.0,1890.0
37,European Goldfinch,,2890.0000000000005
38,Common Linnet,,930.0000000000001
39,Common Moorhen,,1955.0
40,European Bee-eater,405.00000000000006,2000.0
41,Lesser Whitethroat,,
42,European Turtle Dove,365.0,1100.0
43,Dunlin,250.0,2730.0
44,Long-tailed Tit,,2920.0
45,Eurasian Coot,575.0,930.0000000000001
46,River Warbler,295.0,
47,Dunlin,,1525.0
48,Sedge Warbler,320.0,2910.0000000000005
49,European Golden Plover,,2275.0
50,Spotted Flycatcher,475.0,
51,Coal Tit,,
52,Common Chiffchaff,280.0,900.0000000000001
53,Canada Goose,355.0,1220.0
54,Red Crossbill,,2245.0
55,Red-throated Loon,360.00000000000006,1140.0
56,Northern Lapwing,,
57,Wood Warbler,,1915.0000000000002
58,Common Wood Pigeon,265.0,715.0
59,Eurasian Blue Tit,250.0,790.0
60,European Golden Plover,590.0,1095.0
61,European Honey Buzzard,385.0,1090.0
62,Common House Martin,460.0,655.0
63,European Turtle Dove,450.00000000000006,2970.0
64,European Honey Buzzard,,
65,Eurasian Treecreeper,395.0,2230.0000000000005
66,Common Wood Pigeon,535.0,1285.0
67,River Warbler,510.00000000000006,2880.0000000000005
68,Song Thrush,560.0,1905.0
69,Great Tit,530.0,1305.0
70,Rook,345.00000000000006,1290.0000000000002
71,Eurasian Blue Tit,650.0,940.0
72,Eurasian Wren,380.0,2300.0
73,European Golden Plover,,2360.0
74,Northern Lapwing,360.00000000000006,2160.0
75,European Nightjar,645.0000000000001,2175.0
76,Common Reed Bunting,,
77,Eurasian Oystercatcher,345.00000000000006,805.0
78,Eurasian Blackcap,,
79,Eurasian Wren,365.0,935.0000000000001
80,Barn Swallow,340.0,2940.0
81,Eurasian Magpie,520.0,2535.0
82,Common Pheasant,,
83,European Turtle Dove,480.00000000000006,685.0
84,Eurasian Blue Tit,315.0,1115.0000000000002
85,Song Thrush,,
86,Corn Bunting,430.0,1360.0
87,Carrion Crow,525.0,
88,Black Woodpecker,560.0,990.0000000000001
89,Common Linnet,545.0,1310.0
90,Common Redpoll,,2765.0
91,Common Snipe,,
92,Eurasian Nuthatch,,
93,Common Redstart,475.0,865.0
94,Eurasian Skylark,355.0,2950.0
95,European Greenfinch,330.00000000000006,
96,Common Nightingale,470.0,1035.0
97,Common Snipe,295.0,2900.0000000000005
98,Marsh Tit,310.0,2600.0
99,Common Redpoll,275.0,2990.0
100,Western Yellow Wagtail,,2715.0
101,Willow Warbler,255.00000000000003,
102,Eurasian Bullfinch,465.00000000000006,1085.0000000000002
103,Eurasian Tree Sparrow,,
104,Carrion Crow,,
105,European Goldfinch,555.0,1290.0000000000002
106,Common Starling,370.0,1515.0000000000002
107,Eurasian Skylark,360.00000000000006,2975.0000000000005
108,Great Spotted Woodpecker,,
109,Common House Martin,350.0,2750.0
110,Marsh Warbler,410.0,2630.0
111,Common Blackbird,580.0,1060.0
112,Common House Martin,505.0,2625.0
113,Grey Partridge,290.0,825.0
114,Tawny Owl,335.0,1040.0
115,Garden Warbler,360.00000000000006,1120.0
116,Marsh Tit,,1335.0
117,Eurasian Coot,,
118,Common Whitethroat,595.0,960.0000000000001
119,Common Wood Pigeon,430.0,870.0000000000001
120,House Sparrow,,1200.0
121,Wood Warbler,,
122,Eurasian Oystercatcher,,1645.0
123,Eurasian Tree Sparrow,510.00000000000006,1070.0
124,Eurasian Reed Warbler,480.00000000000006,2485.0
125,Willow Tit,,2960.0
126,Eurasian Wryneck,550.0,1335.0
127,Eurasian Skylark,300.0,2890.0000000000005
128,Northern Raven,355.0,705.0
129,Eurasian Wryneck,,
130,Eurasian Magpie,310.0,1220.0
131,Great Tit,310.0,1365.0
132,Western Yellow Wagtail,,1855.0000000000002
133,Northern Lapwing,260.0,
134,Goldcrest,530.0,940.0
135,House Sparrow,,2810.0
136,Canada Goose,355.0,655.0
137,Black-headed Gull,420.00000000000006,700.0
138,Willow Warbler,435.00000000000006,2825.0000000000005
139,Eurasian Reed Warbler,330.00000000000006,2715.0
140,Common Moorhen,270.0,1315.0
141,Common Redpoll,480.00000000000006,1830.0
142,Common Nightingale,,
143,European Green Woodpecker,,1655.0
144,House Sparrow,355.0,1080.0
145,Eurasian Collared Dove,385.0,945.0
146,Dunnock,420.00000000000006,1075.0
147,Marsh Tit,590.0,905.0000000000001
148,River Warbler,320.0,700.0
149,Common Reed Bunting,,
150,Common Cuckoo,330.00000000000006,720.0000000000001
151,Common Redstart,440.0,660.0000000000001
152,Common Cuckoo,,
153,Willow Ptarmigan,290.0,775.0
154,Eurasian Golden Oriole,310.0,2730.0
155,Common Swift,,
156,African Pied Wagtail,490.0,1015.0000000000001
157,Coal Tit,425.0,
158,African Pied Wagtail,,
159,Eurasian Blackcap,,2595.0
160,Meadow Pipit,395.0,865.0
161,Grey Partridge,265.0,820.0
162,Grey Plover,635.0,1660.0
163,Eurasian Jay,,1575.0000000000002
164,Eurasian Wren,420.00000000000006,1175.0000000000002
165,Common Chiffchaff,,1135.0
166,Eurasian Blackcap,,
167,Eurasian Nuthatch,285.0,950.0
168,Common Redstart,270.0,900.0000000000001
169,Carrion Crow,615.0,
170,Rock Dove,390.00000000000006,1570.0000000000002
171,Eurasian Collared Dove,,
172,Coal Tit,535.0,1150.0
